月次推移：損益計算書_オフィス栗原株式会社（期間：2026年02月～2027年01月、表示単位：円）,,,,,,,,,,,,,,,,,,,
,,,,,,,Feb-26,Mar-26,Apr-26,May-26,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,Jan-27,期間累計
売上高,,,,,,,,,,,,,,,,,,,
,売上値引,,,,,,-4600,-18400,-23000,-23000,-4600,-27600,-23000,0,0,0,0,0,-124200
,,【青天堂】チケット,,,,,-4600,-18400,-23000,-23000,-4600,-27600,-23000,0,0,0,0,0,-124200
,売上高（飲食店）,,,,,,1855340,1897325,1844160,2146780,1825465,1869010,23000,0,0,0,0,0,11461080
,,【青天堂】飲食,,,,,1602640,1762285,1715750,2016100,1746550,1792000,0,0,0,0,0,0,10635325
,,【青天堂】物販,,,,,107300,89040,105410,89280,65115,49410,0,0,0,0,0,0,505555
,,【青天堂】チケット,,,,,145400,46000,23000,41400,13800,27600,23000,0,0,0,0,0,320200
売上高 計,,,,,,,1850740,1878925,1821160,2123780,1820865,1841410,0,0,0,0,0,0,11336880
,売上原価,,,,,,,,,,,,,,,,,,
,売上原価,,,,,,709801,632742,627062,775942,711974,652645,0,0,0,0,0,0,4110166
,,,期首商品棚卸,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,当期商品仕入,,,,709801,632742,627062,775942,711974,652645,0,0,0,0,0,0,4110166
,,,,仕入高,,,709801,632742,627062,775942,711974,652645,0,0,0,0,0,0,4110166
,,,,,食材,,672669,593668,549478,679522,676331,613473,0,0,0,0,0,0,3785141
,,,,,飲料,,37132,39074,77584,96420,35643,39172,0,0,0,0,0,0,325025
,,,他勘定振替高(商),,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,期末商品棚卸,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,商品売上原価,,,,,709801,632742,627062,775942,711974,652645,0,0,0,0,0,0,4110166
,,,期首製品棚卸,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,当期製品製造原価,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,他勘定振替高(製),,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,期末製品棚卸,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,製品売上原価,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
売上総損益金額,,,,,,,1140939,1246183,1194098,1347838,1108891,1188765,0,0,0,0,0,0,7226714
,販売管理費,,,,,,,,,,,,,,,,,,
,,給料手当,,,,,312454,327589,370262,332670,340276,433485,0,0,0,0,0,0,2116736
,,,正社員基本給,,,,280000,280000,280000,280000,280000,280000,0,0,0,0,0,0,1680000
,,,正社員時間外労働手当,,,,31340,38271,87613,51651,58340,52364,0,0,0,0,0,0,319579
,,,正社員賞与,,,,0,0,0,0,0,100000,0,0,0,0,0,0,100000
,,,正社員有給取得,,,,0,8910,0,0,0,0,0,0,0,0,0,0,8910
,,,正社員深夜労働手当,,,,1114,408,2649,1019,1936,1121,0,0,0,0,0,0,8247
,,雑給,,,,,438911,481188,466199,467817,449790,822118,0,0,0,0,0,0,3126023
,,,アルバイトパート基本給,,,,416328,469985,450425,455282,436350,460075,0,0,0,0,0,0,2688445
,,,アルバイトパート賞与,,,,0,0,0,0,0,350000,0,0,0,0,0,0,350000
,,,アルバイトパート時間外労働手当,,,,8594,11058,15499,12535,12880,11693,0,0,0,0,0,0,72259
,,,アルバイトパート有給取得,,,,13920,0,0,0,0,0,0,0,0,0,0,0,13920
,,,アルバイトパート深夜労働手当,,,,69,145,275,0,560,350,0,0,0,0,0,0,1399
,,福利厚生費,,,,,0,1635,7700,0,0,0,0,0,0,0,0,0,9335
,,,会議飲食代,,,,0,0,7700,0,0,0,0,0,0,0,0,0,7700
,,,手土産,,,,0,1635,0,0,0,0,0,0,0,0,0,0,1635
,,外注費,,,,,0,0,8400,0,0,0,0,0,0,0,0,0,8400
,,,店舗サポート,,,,0,0,8400,0,0,0,0,0,0,0,0,0,8400
,,旅費交通費,,,,,26500,26500,26500,26500,26500,26500,0,0,0,0,0,0,159000
,,,通勤費,,,,25500,25500,25500,25500,25500,25500,0,0,0,0,0,0,153000
,,,車両精算,,,,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,6000
,,水道光熱費,,,,,20916,75985,67881,96762,83211,102455,74591,0,0,0,0,0,521801
,,,電気代,,,,0,47696,46171,50919,57670,56201,74591,0,0,0,0,0,333248
,,,ガス代,,,,20916,20641,21710,27293,25541,30374,0,0,0,0,0,0,146475
,,,水道代,,,,0,7648,0,18550,0,15880,0,0,0,0,0,0,42078
,,通信費,,,,,0,1155,0,1155,1155,1155,0,0,0,0,0,0,4620
,,,宅急便代,,,,0,1155,0,1155,1155,1155,0,0,0,0,0,0,4620
,,地代家賃,,,,,25000,25000,25000,25000,25000,25000,25000,0,0,0,0,0,175000
,,,㈱BLUEESTATE,,,,25000,25000,25000,25000,25000,25000,25000,0,0,0,0,0,175000
,,修繕維持費,,,,,0,0,0,3000,0,14586,0,0,0,0,0,0,17586
,,,店舗備品修繕費,,,,0,0,0,3000,0,14586,0,0,0,0,0,0,17586
,,広告宣伝費,,,,,0,0,0,3024,38746,1566,0,0,0,0,0,0,43336
,,,店舗のれん,,,,0,0,0,0,37180,0,0,0,0,0,0,0,37180
,,,ホットペッパー,,,,0,0,0,3024,1566,1566,0,0,0,0,0,0,6156
,,消耗品費,,,,,18704,49070,40172,26006,25949,18524,0,0,0,0,0,0,178425
,,,厨房消耗品,,,,18704,7306,21401,15879,22805,7827,0,0,0,0,0,0,93922
,,,店舗消耗品,,,,0,14264,18771,10127,3144,10697,0,0,0,0,0,0,57003
,,,厨房設備用品,,,,0,27500,0,0,0,0,0,0,0,0,0,0,27500
,,リース料,,,,,6805,6832,6788,6752,6902,6717,0,0,0,0,0,0,40796
,,,インタネット設備費用,,,,6805,6832,6788,6752,6902,6717,0,0,0,0,0,0,40796
,,システム利用料,,,,,5280,4928,462,462,616,462,0,0,0,0,0,0,12210
,,,Airシフトシステム,,,,5280,4620,0,0,0,0,0,0,0,0,0,0,9900
,,,システム利用手数料,,,,0,308,462,462,616,462,0,0,0,0,0,0,2310
,,雑費,,,,,385,0,4990,4990,13180,4990,0,0,0,0,0,0,28535
,,,ダスキン,,,,0,0,4990,4990,9980,4990,0,0,0,0,0,0,24950
,,,洗濯関連費,,,,0,0,0,0,3200,0,0,0,0,0,0,0,3200
,,,（株）サニクリーン,,,,385,0,0,0,0,0,0,0,0,0,0,0,385
,,支払手数料,,,,,44060,47879,52606,62014,56618,43723,10006,0,0,0,0,0,316906
,,,クレジット手数料,,,,27560,31379,36106,45514,40118,27223,10006,0,0,0,0,0,217906
,,,産業廃棄物収集,,,,16500,16500,16500,16500,16500,16500,0,0,0,0,0,0,99000
,販売管理費 計,,,,,,899015,1047761,1076960,1056152,1067943,1501281,109597,0,0,0,0,0,6758709
営業損益金額,,,,,,,241924,198422,117138,291686,40948,-312516,-109597,0,0,0,0,0,468005
,営業外収益,,,,,,5752,5704,5956,11264,5926,5640,0,0,0,0,0,0,40242
,,雑収入,,,,,5752,5704,5956,11264,5926,5640,0,0,0,0,0,0,40242
,,,あんくるふじや返瓶,,,,5752,5704,5956,11264,5926,5640,0,0,0,0,0,0,40242
,営業外費用,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
経常損益金額,,,,,,,247676,204126,123094,302950,46874,-306876,-109597,0,0,0,0,0,508247
,特別利益,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,特別損失,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
税引前当期純損益金額,,,,,,,247676,204126,123094,302950,46874,-306876,-109597,0,0,0,0,0,508247
